"","id","especie","ultima_modificacion","altura","circ_tronco_cm","diametro_tronco","long","lat","seccion","nombre_seccion","area_seccion","inclinacion_peligrosa","circ_tronco_cm_cat"
"9249",14157,"Jacarand","30/11/2011 10:35","Medio (4 - 8 mts)",64,"Grande",-68.8766223574,-32.8674020154,8,"Aeroparque",2203364.73622,0,"bajo"
"29010",43978,"Morera","14/10/2011 12:04","Alto (> 8 mts)",180,"Grande",-68.8340162842,-32.8856557969,3,"Parque O'Higgins",1531146.02653,0,"medio"
"28543",43264,"Morera","21/10/2011 19:17","Alto (> 8 mts)",116,"Grande",-68.8351142815,-32.8808005693,1,"Parque Central",1655357.93265,0,"medio"
"4007",6171,"Fresno americano","26/04/2011 17:12","Medio (4 - 8 mts)",36,"Mediano",-68.8392581683,-32.8845864139,1,"Parque Central",1655357.93265,0,"bajo"
"26139",39509,"Paraiso","10/11/2010 10:39","Medio (4 - 8 mts)",160,"Grande",-68.8544979593,-32.8693882435,6,"Residencial Norte",2694682.37982,0,"medio"
"8318",12698,"Morera","20/01/2011 09:47","Alto (> 8 mts)",140,"Grande",-68.8478514273,-32.8634367037,4,"Cuarta Oeste",1173332.70145,0,"medio"
"27410",41459,"Paraiso","07/04/2011 11:15","Alto (> 8 mts)",198,"Grande",-68.8416802627,-32.8807786964,1,"Parque Central",1655357.93265,0,"medio"
"5404",8278,"Tipa","22/02/2011 09:30","Alto (> 8 mts)",122,"Grande",-68.8478463431,-32.8918932028,2,"Barrio Civico",2366816.36021,0,"medio"
"23292",35301,"Morera","23/06/2011 16:14","Medio (4 - 8 mts)",110,"Grande",-68.8525101727,-32.882804739,1,"Parque Central",1655357.93265,0,"medio"
"17325",26397,"Morera","25/10/2011 10:10","Muy bajo (1 - 2 mts)",8,"Chico",-68.832859918,-32.8897288211,3,"Parque O'Higgins",1531146.02653,0,"bajo"
"2274",3428,"Morera","17/08/2011 09:16","Alto (> 8 mts)",153,"Grande",-68.8312814731,-32.8668052031,4,"Cuarta Oeste",1173332.70145,0,"medio"
"28681",43467,"Fresno europeo","03/10/2011 09:45","Medio (4 - 8 mts)",105,"Grande",-68.83225663,-32.8791173513,4,"Cuarta Este Área Fundacional",1822015.85685,0,"medio"
"29469",44704,"Fresno europeo","24/08/2011 11:58","Medio (4 - 8 mts)",115,"Grande",-68.822866232,-32.8684741606,4,"Cuarta Este Área Fundacional",1822015.85685,0,"medio"
"11883",18292,"Morera","04/08/2011 10:59","Alto (> 8 mts)",110,"Grande",-68.8395799767,-32.8689526066,4,"Cuarta Oeste",1173332.70145,0,"medio"
"9129",13955,"Paraiso sombrilla","29/11/2011 12:13","Medio (4 - 8 mts)",90,"Grande",-68.8769003675,-32.8646700175,8,"Aeroparque",2203364.73622,0,"bajo"
"15833",24086,"Morera","11/01/2011 12:47","Alto (> 8 mts)",140,"Grande",-68.8470995971,-32.9013076194,2,"Barrio Civico",2366816.36021,0,"medio"
"14777",22539,"Morera","16/06/2011 12:02","Alto (> 8 mts)",125,"Grande",-68.8604649413,-32.9003779449,5,"Residencial Sur",2423808.92355,1,"medio"
"15278",23248,"Morera","27/01/2012 13:01","Medio (4 - 8 mts)",120,"Grande",-68.8526317156,-32.9016308932,2,"Barrio Civico",2366816.36021,0,"medio"
"30665",46515,"Morera","17/08/2011 09:26","Alto (> 8 mts)",199,"Grande",-68.8310196705,-32.8668121652,4,"Cuarta Oeste",1173332.70145,1,"medio"
"2759",4226,"Paraiso","11/07/2011 11:49","Bajo (2 - 4 mts)",25,"Mediano",-68.8394200935,-32.8738807541,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"26310",39783,"Fresno europeo","13/07/2011 12:38","Muy bajo (1 - 2 mts)",3,"Chico",-68.851557619,-32.8833619889,1,"Parque Central",1655357.93265,0,"bajo"
"4729",7250,"Fresno europeo","31/05/2011 13:42","Bajo (2 - 4 mts)",28,"Mediano",-68.8542085131,-32.9021508699,2,"Barrio Civico",2366816.36021,0,"bajo"
"29753",45133,"Morera","01/09/2011 13:50","Alto (> 8 mts)",176,"Grande",-68.8240733461,-32.8702273147,4,"Cuarta Este Área Fundacional",1822015.85685,0,"medio"
"27124",41042,"Pltano","30/09/2011 11:33","Alto (> 8 mts)",198,"Grande",-68.8395459791,-32.8805865121,1,"Parque Central",1655357.93265,0,"medio"
"24730",37441,"lamo blanco","05/01/2011 12:12","Alto (> 8 mts)",97,"Grande",-68.8580036835,-32.8711787977,6,"Residencial Norte",2694682.37982,0,"bajo"
"7969",12139,"Morera","20/01/2011 13:18","Alto (> 8 mts)",175,"Grande",-68.8482187086,-32.868200823,6,"Residencial Norte",2694682.37982,0,"medio"
"13734",21017,"Morera","21/06/2011 12:11","Alto (> 8 mts)",132,"Grande",-68.8630614884,-32.9004703254,5,"Residencial Sur",2423808.92355,1,"medio"
"28079",42539,"Fresno europeo","26/09/2011 13:54","Bajo (2 - 4 mts)",30,"Mediano",-68.8306802927,-32.8758933255,4,"Cuarta Este Área Fundacional",1822015.85685,0,"bajo"
"29086",44098,"Morera","11/11/2011 08:55","Medio (4 - 8 mts)",180,"Grande",-68.8288482924,-32.8857576655,3,"Parque O'Higgins",1531146.02653,0,"medio"
"25139",38034,"Acer","07/12/2010 09:31","Muy bajo (1 - 2 mts)",5,"Chico",-68.8471936034,-32.8720400126,6,"Residencial Norte",2694682.37982,0,"bajo"
"26829",40585,"Morera","15/04/2011 11:54","Alto (> 8 mts)",125,"Grande",-68.8460044686,-32.8838078757,1,"Parque Central",1655357.93265,1,"medio"
"12974",19907,"Morera","28/06/2011 14:05","Alto (> 8 mts)",181,"Grande",-68.8335000578,-32.8625984529,4,"Cuarta Oeste",1173332.70145,0,"medio"
"1126",1713,"Morera","23/11/2011 08:07","Bajo (2 - 4 mts)",12,"Chico",-68.872313765,-32.8790638368,7,"Residencial Parque",1786336.08966,0,"bajo"
"20088",30520,"Fresno americano","04/04/2011 16:07","Medio (4 - 8 mts)",88,"Grande",-68.8388257495,-32.8874444249,3,"Parque O'Higgins",1531146.02653,0,"bajo"
"9988",15386,"Aguaribay","15/11/2011 12:46","Medio (4 - 8 mts)",95,"Grande",-68.8604762604,-32.8703576853,7,"Residencial Parque",1786336.08966,0,"bajo"
"6113",9354,"Fresno europeo","16/02/2011 10:51","Medio (4 - 8 mts)",80,"Grande",-68.8454812322,-32.8645432465,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"16735",25485,"Pltano","08/02/2011 09:37","Alto (> 8 mts)",270,"Grande",-68.8417710276,-32.9001437609,2,"Barrio Civico",2366816.36021,0,"alto"
"22745",34469,"Morera","11/03/2011 09:36","Alto (> 8 mts)",180,"Grande",-68.8495379105,-32.8740412483,6,"Residencial Norte",2694682.37982,0,"medio"
"29861",45280,"Fresno europeo","16/09/2011 10:00","Alto (> 8 mts)",175,"Grande",-68.8244270998,-32.8712693584,4,"Cuarta Este Área Fundacional",1822015.85685,0,"medio"
"19171",29172,"Pltano","10/03/2011 09:20","Alto (> 8 mts)",185,"Grande",-68.8457835473,-32.8890081125,2,"Barrio Civico",2366816.36021,0,"medio"
"23752",35994,"Morera","21/03/2011 11:48","Alto (> 8 mts)",126,"Grande",-68.8556368807,-32.875111623,6,"Residencial Norte",2694682.37982,0,"medio"
"24318",36824,"Pltano","07/04/2011 11:56","Alto (> 8 mts)",180,"Grande",-68.8583732756,-32.880387314,7,"Residencial Parque",1786336.08966,1,"medio"
"7627",11640,"Morera","27/01/2011 10:51","Alto (> 8 mts)",193,"Grande",-68.8501379754,-32.8675890214,6,"Residencial Norte",2694682.37982,1,"medio"
"25308",38284,"Fresno europeo","01/12/2010 11:55","Alto (> 8 mts)",120,"Grande",-68.8456430782,-32.8713369209,6,"Residencial Norte",2694682.37982,0,"medio"
"4617",7072,"Caducifolio","03/06/2011 12:27","Muy bajo (1 - 2 mts)",15,"Chico",-68.8582249293,-32.8975663806,5,"Residencial Sur",2423808.92355,0,"bajo"
"3574",5491,"Morera","08/04/2011 10:09","Medio (4 - 8 mts)",160,"Grande",-68.8449111937,-32.8812665621,1,"Parque Central",1655357.93265,0,"medio"
"4844",7415,"Paraiso","17/06/2011 18:02","Alto (> 8 mts)",92,"Grande",-68.8582849834,-32.9001884393,5,"Residencial Sur",2423808.92355,0,"bajo"
"21844",33153,"Pltano","09/06/2011 09:16","Alto (> 8 mts)",180,"Grande",-68.8529888009,-32.8920917397,5,"Residencial Sur",2423808.92355,0,"medio"
"9831",15110,"Paraiso","18/11/2011 09:09","Bajo (2 - 4 mts)",33,"Mediano",-68.8590279275,-32.8687049296,6,"Residencial Norte",2694682.37982,1,"bajo"
"9466",14491,"Morera","30/11/2011 18:08","Bajo (2 - 4 mts)",16,"Chico",-68.8792457454,-32.8667568315,8,"Aeroparque",2203364.73622,0,"bajo"
"30141",45735,"Fresno europeo","24/08/2011 11:25","Medio (4 - 8 mts)",190,"Grande",-68.8221168722,-32.8687173383,4,"Cuarta Este Área Fundacional",1822015.85685,0,"medio"
"5162",7898,"Jacarand","16/06/2011 09:29","Bajo (2 - 4 mts)",30,"Mediano",-68.8560808875,-32.8894855209,5,"Residencial Sur",2423808.92355,0,"bajo"
"19275",29325,"Fresno americano","25/04/2011 12:47","Alto (> 8 mts)",220,"Grande",-68.8427313677,-32.8867275333,1,"Parque Central",1655357.93265,0,"alto"
"17263",26308,"Pltano","21/10/2011 08:51","Medio (4 - 8 mts)",220,"Grande",-68.8315325479,-32.8891866717,3,"Parque O'Higgins",1531146.02653,1,"alto"
"26441",39977,"Morera","25/04/2011 10:14","Medio (4 - 8 mts)",180,"Grande",-68.8453571763,-32.8779668123,1,"Parque Central",1655357.93265,0,"medio"
"26818",40566,"Pltano","15/04/2011 12:28","Alto (> 8 mts)",170,"Grande",-68.8462219688,-32.8847810694,1,"Parque Central",1655357.93265,0,"medio"
"9033",13797,"Morera","26/01/2011 12:43","Medio (4 - 8 mts)",120,"Grande",-68.8492016906,-32.8643725698,6,"Residencial Norte",2694682.37982,0,"medio"
"19984",30359,"Morera","14/03/2011 11:12","Alto (> 8 mts)",127,"Grande",-68.8400867982,-32.8906080714,3,"Parque O'Higgins",1531146.02653,0,"medio"
"26980",40814,"Fresno americano","26/04/2011 17:02","Alto (> 8 mts)",138,"Grande",-68.8396152238,-32.8848627603,1,"Parque Central",1655357.93265,0,"medio"
"18744",28520,"Morera","21/02/2011 12:34","Alto (> 8 mts)",175,"Grande",-68.8487939248,-32.8899991914,5,"Residencial Sur",2423808.92355,0,"medio"
"12615",19371,"Fresno americano","18/07/2011 14:09","Bajo (2 - 4 mts)",15,"Chico",-68.8360354666,-32.871466628,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"7995",12193,"Paraiso","19/01/2011 11:18","Alto (> 8 mts)",160,"Grande",-68.846103166,-32.8676872453,4,"Cuarta Oeste",1173332.70145,0,"medio"
"9149",13984,"Morera","29/11/2011 10:39","Bajo (2 - 4 mts)",30,"Mediano",-68.8776600344,-32.8657092041,8,"Aeroparque",2203364.73622,0,"bajo"
"13847",21187,"Pltano","06/05/2011 09:22","Alto (> 8 mts)",200,"Grande",-68.8523719976,-32.8928759688,5,"Residencial Sur",2423808.92355,0,"medio"
"29378",44563,"Morera","20/10/2011 09:08","Alto (> 8 mts)",180,"Grande",-68.8341159885,-32.8852438938,3,"Parque O'Higgins",1531146.02653,0,"medio"
"20385",30969,"Acer","10/02/2011 13:14","Medio (4 - 8 mts)",60,"Mediano",-68.8553876171,-32.8635221848,6,"Residencial Norte",2694682.37982,0,"bajo"
"14159",21618,"Pltano","11/05/2011 11:25","Alto (> 8 mts)",220,"Grande",-68.8543348341,-32.8948999126,5,"Residencial Sur",2423808.92355,0,"alto"
"31384",47618,"Morera","08/09/2011 10:51","Alto (> 8 mts)",135,"Grande",-68.8298737576,-32.8709877507,4,"Cuarta Este Área Fundacional",1822015.85685,0,"medio"
"20684",31407,"Fresno europeo","23/05/2011 10:27","Medio (4 - 8 mts)",50,"Mediano",-68.8504853614,-32.8850662972,1,"Parque Central",1655357.93265,0,"bajo"
"23574",35733,"Paraiso","09/03/2011 09:36","Alto (> 8 mts)",150,"Grande",-68.854659955,-32.8740335085,6,"Residencial Norte",2694682.37982,0,"medio"
"11239",17347,"Caducifolio","05/08/2011 07:42","Bajo (2 - 4 mts)",25,"Mediano",-68.8355473496,-32.8657117149,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"4728",7248,"Morera","31/05/2011 13:46","Medio (4 - 8 mts)",42,"Mediano",-68.8542504357,-32.9020097466,5,"Residencial Sur",2423808.92355,0,"bajo"
"20727",31480,"Olmo comun","19/05/2011 11:18","Medio (4 - 8 mts)",95,"Grande",-68.8584675969,-32.8913689519,5,"Residencial Sur",2423808.92355,0,"bajo"
"2107",3190,"Morera","21/09/2011 11:32","Medio (4 - 8 mts)",96,"Grande",-68.8291977077,-32.8753881163,4,"Cuarta Este Área Fundacional",1822015.85685,0,"bajo"
"19965",30334,"Acacia SP","10/03/2011 12:16","Alto (> 8 mts)",160,"Grande",-68.8409215617,-32.8909634269,2,"Barrio Civico",2366816.36021,0,"medio"
"4358",6690,"Morera","12/05/2011 09:52","Alto (> 8 mts)",140,"Grande",-68.8551013501,-32.8939572709,5,"Residencial Sur",2423808.92355,0,"medio"
"22809",34582,"Morera","17/01/2012 19:33","Medio (4 - 8 mts)",140,"Grande",-68.8488401918,-32.8743859587,6,"Residencial Norte",2694682.37982,0,"medio"
"11954",18387,"Morera","02/08/2011 15:12","Alto (> 8 mts)",155,"Grande",-68.8391015119,-32.8694858854,4,"Cuarta Oeste",1173332.70145,0,"medio"
"5363",8206,"Pltano","15/03/2011 09:52","Alto (> 8 mts)",208,"Grande",-68.8404944837,-32.8927801243,2,"Barrio Civico",2366816.36021,0,"alto"
"5198",7950,"Morera","25/02/2011 18:39","Muy bajo (1 - 2 mts)",15,"Chico",-68.8465803974,-32.887628212,1,"Parque Central",1655357.93265,0,"bajo"
"30708",46576,"Morera","07/09/2011 08:54","Bajo (2 - 4 mts)",30,"Mediano",-68.8324653473,-32.8695514457,4,"Cuarta Este Área Fundacional",1822015.85685,0,"bajo"
"10754",16601,"Morera","26/07/2011 10:31","Alto (> 8 mts)",170,"Grande",-68.8407149899,-32.8653826243,4,"Cuarta Oeste",1173332.70145,0,"medio"
"1882",2858,"Morera","04/11/2011 09:16","Medio (4 - 8 mts)",18,"Chico",-68.8359034407,-32.8936434979,3,"Parque O'Higgins",1531146.02653,0,"bajo"
"6483",9891,"Fresno europeo","14/02/2011 09:55","Medio (4 - 8 mts)",60,"Mediano",-68.8568093938,-32.8647058997,6,"Residencial Norte",2694682.37982,0,"bajo"
"9641",14771,"Aguaribay","06/12/2011 16:55","Bajo (2 - 4 mts)",22,"Mediano",-68.8792250275,-32.868994252,8,"Aeroparque",2203364.73622,0,"bajo"
"5317",8132,"Morera","23/02/2011 09:04","Alto (> 8 mts)",160,"Grande",-68.8487855803,-32.8910133364,2,"Barrio Civico",2366816.36021,1,"medio"
"909",1389,"Acer","23/11/2011 11:05","Bajo (2 - 4 mts)",28,"Mediano",-68.8708560009,-32.87910901,7,"Residencial Parque",1786336.08966,0,"bajo"
"12198",18769,"Morera","11/07/2011 11:38","Alto (> 8 mts)",165,"Grande",-68.8383644859,-32.8724232861,4,"Cuarta Oeste",1173332.70145,0,"medio"
"9804",15071,"Acer","17/11/2011 12:27","Medio (4 - 8 mts)",145,"Grande",-68.8583461929,-32.8698679417,6,"Residencial Norte",2694682.37982,0,"medio"
"30172",45782,"Morera","23/08/2011 11:54","Alto (> 8 mts)",150,"Grande",-68.8216525803,-32.8699551063,4,"Cuarta Este Área Fundacional",1822015.85685,1,"medio"
"2031",3091,"Fresno europeo","15/09/2011 10:24","Bajo (2 - 4 mts)",14,"Chico",-68.8300318459,-32.871882923,4,"Cuarta Este Área Fundacional",1822015.85685,0,"bajo"
"431",663,"Morera","07/03/2012 16:15","Medio (4 - 8 mts)",110,"Grande",-68.8182431856,-32.8680452757,4,"Cuarta Este Área Fundacional",1822015.85685,0,"medio"
"16551",25197,"Morera","11/02/2011 14:12","Alto (> 8 mts)",104,"Grande",-68.8368947299,-32.8987318856,2,"Barrio Civico",2366816.36021,0,"medio"
"25691",38854,"Morera","09/12/2010 11:43","Alto (> 8 mts)",75,"Grande",-68.8492250203,-32.8707718695,6,"Residencial Norte",2694682.37982,0,"bajo"
"11100",17140,"Olmo bola","15/08/2011 11:26","Medio (4 - 8 mts)",60,"Mediano",-68.8373958221,-32.8624996023,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"7528",11485,"Paraiso","18/02/2011 14:10","Alto (> 8 mts)",210,"Grande",-68.8538566942,-32.8656193038,6,"Residencial Norte",2694682.37982,0,"alto"
"12008",18469,"Morera","07/07/2011 11:46","Alto (> 8 mts)",190,"Grande",-68.8389619195,-32.8740049965,4,"Cuarta Oeste",1173332.70145,1,"medio"
"27032",40902,"Pltano","26/04/2011 16:04","Alto (> 8 mts)",165,"Grande",-68.8379613258,-32.8841744407,3,"Parque O'Higgins",1531146.02653,0,"medio"
"16761",25532,"Morera","04/03/2011 13:45","Alto (> 8 mts)",142,"Grande",-68.8405726338,-32.9008591723,2,"Barrio Civico",2366816.36021,0,"medio"
"23942",36267,"Pltano","17/03/2011 10:18","Alto (> 8 mts)",260,"Grande",-68.8533147053,-32.8777605996,6,"Residencial Norte",2694682.37982,0,"alto"
"28077",42534,"Morera","26/09/2011 12:14","Alto (> 8 mts)",145,"Grande",-68.8306931557,-32.876143084,4,"Cuarta Este Área Fundacional",1822015.85685,1,"medio"
"8767",13393,"Olmo bola","11/01/2011 10:43","Alto (> 8 mts)",98,"Grande",-68.8440590112,-32.8660460043,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"15372",23386,"Fresno europeo","28/01/2011 09:16","Alto (> 8 mts)",156,"Grande",-68.8493864378,-32.902125162,2,"Barrio Civico",2366816.36021,0,"medio"
"13760",21057,"Morera","23/06/2011 11:22","Alto (> 8 mts)",105,"Grande",-68.8635540994,-32.8993706213,5,"Residencial Sur",2423808.92355,0,"medio"
"18107",27596,"Fresno europeo","07/11/2011 09:30","Alto (> 8 mts)",145,"Grande",-68.8381894112,-32.8943154935,2,"Barrio Civico",2366816.36021,0,"medio"
"13933",21290,"Morera","13/06/2011 11:38","Alto (> 8 mts)",140,"Grande",-68.8523248271,-32.897708099,5,"Residencial Sur",2423808.92355,0,"medio"
"11970",18410,"Morera","11/07/2011 11:54","Alto (> 8 mts)",148,"Grande",-68.8395657668,-32.8737751471,4,"Cuarta Oeste",1173332.70145,1,"medio"
"1399",2131,"Fresno europeo","09/11/2011 09:08","Medio (4 - 8 mts)",125,"Grande",-68.8336873131,-32.8926746744,3,"Parque O'Higgins",1531146.02653,0,"medio"
"22998",34846,"Ailanthus","30/03/2011 09:52","Medio (4 - 8 mts)",40,"Mediano",-68.8513577988,-32.8768848414,6,"Residencial Norte",2694682.37982,0,"bajo"
"14135",21587,"Fresno europeo","12/05/2011 10:35","Medio (4 - 8 mts)",80,"Grande",-68.8543429196,-32.8936263411,5,"Residencial Sur",2423808.92355,0,"bajo"
"18857",28695,"Morera","01/03/2011 12:30","Alto (> 8 mts)",165,"Grande",-68.8465061211,-32.890549189,2,"Barrio Civico",2366816.36021,0,"medio"
"16819",25623,"Paraiso","15/02/2011 15:46","Alto (> 8 mts)",92,"Grande",-68.8379864338,-32.9017927939,2,"Barrio Civico",2366816.36021,0,"bajo"
"21007",31896,"Morera","01/06/2011 13:44","Medio (4 - 8 mts)",100,"Grande",-68.8587019573,-32.8841272326,5,"Residencial Sur",2423808.92355,0,"bajo"
"25651",38795,"Paraiso","14/12/2010 09:52","Alto (> 8 mts)",220,"Grande",-68.8500223164,-32.8705298979,6,"Residencial Norte",2694682.37982,0,"alto"
"26604",40246,"Morera","14/04/2011 11:39","Alto (> 8 mts)",106,"Grande",-68.8454865558,-32.8826010428,1,"Parque Central",1655357.93265,1,"medio"
"21097",32026,"Morera","03/06/2011 09:09","Alto (> 8 mts)",80,"Grande",-68.8573279485,-32.888129862,5,"Residencial Sur",2423808.92355,0,"bajo"
"10982",16945,"Morera","16/08/2011 13:12","Medio (4 - 8 mts)",123,"Grande",-68.8369368435,-32.8654159888,4,"Cuarta Oeste",1173332.70145,0,"medio"
"8579",13103,"Morera","16/02/2011 13:06","Alto (> 8 mts)",130,"Grande",-68.8463412957,-32.8658938206,4,"Cuarta Oeste",1173332.70145,0,"medio"
"2363",3578,"Paraiso","05/09/2011 07:46","Medio (4 - 8 mts)",50,"Mediano",-68.8304419826,-32.8690060133,4,"Cuarta Este Área Fundacional",1822015.85685,0,"bajo"
"3524",5418,"Morera","19/04/2011 11:41","Alto (> 8 mts)",150,"Grande",-68.8441679179,-32.8792501436,1,"Parque Central",1655357.93265,0,"medio"
"4741",7267,"Morera","14/06/2011 12:26","Alto (> 8 mts)",92,"Grande",-68.8592274816,-32.9023164351,5,"Residencial Sur",2423808.92355,0,"bajo"
"24987",37813,"Fresno europeo","10/12/2010 11:17","Alto (> 8 mts)",130,"Grande",-68.8485878745,-32.8719038083,6,"Residencial Norte",2694682.37982,0,"medio"
"17217",26234,"Fresno americano","19/10/2011 09:51","Bajo (2 - 4 mts)",20,"Chico",-68.8302563563,-32.888741569,3,"Parque O'Higgins",1531146.02653,0,"bajo"
"18852",28688,"Pltano","01/03/2011 12:49","Alto (> 8 mts)",126,"Grande",-68.8462528508,-32.8908470592,2,"Barrio Civico",2366816.36021,0,"medio"
"17781",27075,"Pltano","21/10/2011 14:53","Alto (> 8 mts)",160,"Grande",-68.8384988865,-32.8876475457,3,"Parque O'Higgins",1531146.02653,0,"medio"
"6496",9908,"Fresno europeo","11/02/2011 11:28","Medio (4 - 8 mts)",60,"Mediano",-68.8579342008,-32.8647648671,6,"Residencial Norte",2694682.37982,0,"bajo"
"12616",19372,"Caducifolio","18/07/2011 14:06","Muy bajo (1 - 2 mts)",12,"Chico",-68.8358767131,-32.8714806539,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"14620",22312,"Morera","09/06/2011 10:37","Alto (> 8 mts)",155,"Grande",-68.8578017927,-32.8981105916,5,"Residencial Sur",2423808.92355,0,"medio"
"10809",16683,"Morera","21/07/2011 09:37","Alto (> 8 mts)",120,"Grande",-68.8409677501,-32.8627060833,4,"Cuarta Oeste",1173332.70145,0,"medio"
"26830",40586,"Fresno europeo","15/04/2011 11:51","Alto (> 8 mts)",80,"Grande",-68.8461277276,-32.8837828701,1,"Parque Central",1655357.93265,0,"bajo"
"8480",12951,"Acer","12/01/2011 08:53","Alto (> 8 mts)",150,"Grande",-68.8442967173,-32.8637797183,4,"Cuarta Oeste",1173332.70145,0,"medio"
"29420",44631,"Fresno europeo","25/08/2011 13:13","Medio (4 - 8 mts)",130,"Grande",-68.8239959375,-32.866682826,4,"Cuarta Este Área Fundacional",1822015.85685,0,"medio"
"22049",33459,"Fresno europeo","15/06/2011 10:55","Medio (4 - 8 mts)",85,"Grande",-68.857433691,-32.8891012851,5,"Residencial Sur",2423808.92355,0,"bajo"
"12728",19536,"Morera","26/07/2011 10:27","Alto (> 8 mts)",210,"Grande",-68.836908255,-32.8707027671,4,"Cuarta Oeste",1173332.70145,0,"alto"
"16636",25330,"Morera","09/02/2011 10:32","Alto (> 8 mts)",250,"Grande",-68.8400149421,-32.8995297296,2,"Barrio Civico",2366816.36021,1,"alto"
"9841",15127,"Morera","18/11/2011 08:51","Bajo (2 - 4 mts)",22,"Mediano",-68.8591191573,-32.8694810417,6,"Residencial Norte",2694682.37982,0,"bajo"
"3003",4603,"Acer","29/07/2011 09:14","Bajo (2 - 4 mts)",10,"Chico",-68.8357545177,-32.8669936118,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"1220",1866,"Perenne","16/11/2011 12:28","Muy bajo (1 - 2 mts)",120,"Grande",-68.8611574705,-32.870449619,7,"Residencial Parque",1786336.08966,0,"medio"
"30616",46443,"Morera","17/08/2011 09:33","Alto (> 8 mts)",220,"Grande",-68.8318733243,-32.8674062436,4,"Cuarta Oeste",1173332.70145,0,"alto"
"12405",19066,"Morera","26/07/2011 13:11","Alto (> 8 mts)",190,"Grande",-68.8419511056,-32.8717413192,4,"Cuarta Oeste",1173332.70145,0,"medio"
"5860",8990,"Perenne","17/01/2011 09:49","Muy bajo (1 - 2 mts)",20,"Chico",-68.8459844074,-32.8679927295,4,"Cuarta Oeste",1173332.70145,0,"bajo"
"31372",47601,"Morera","08/09/2011 11:38","Alto (> 8 mts)",180,"Grande",-68.8292670373,-32.871856617,4,"Cuarta Este Área Fundacional",1822015.85685,1,"medio"
"10751",16598,"Morera","26/07/2011 10:54","Alto (> 8 mts)",160,"Grande",-68.8406665507,-32.865225307,4,"Cuarta Oeste",1173332.70145,0,"medio"
"12640",19403,"Morera","05/07/2011 09:30","Alto (> 8 mts)",145,"Grande",-68.8358036409,-32.8734865646,4,"Cuarta Oeste",1173332.70145,0,"medio"
"26161",39544,"Fresno europeo","01/11/2010 10:05","Bajo (2 - 4 mts)",25,"Mediano",-68.8489407009,-32.869065791,6,"Residencial Norte",2694682.37982,0,"bajo"
"6304",9625,"Paraiso","26/01/2011 09:29","Bajo (2 - 4 mts)",36,"Mediano",-68.8497050795,-32.8632847733,6,"Residencial Norte",2694682.37982,0,"bajo"
"1204",1843,"Paraiso","17/11/2011 12:59","Bajo (2 - 4 mts)",72,"Grande",-68.8586938626,-32.8721926158,6,"Residencial Norte",2694682.37982,0,"bajo"
"16987",25880,"Morera","04/02/2011 14:06","Alto (> 8 mts)",82,"Grande",-68.8393459612,-32.9019575105,2,"Barrio Civico",2366816.36021,0,"bajo"
"4697",7202,"Jacarand","15/06/2011 10:18","Alto (> 8 mts)",127,"Grande",-68.8610164901,-32.8990542311,5,"Residencial Sur",2423808.92355,0,"medio"
"25760",38966,"Morera","28/12/2010 11:56","Alto (> 8 mts)",120,"Grande",-68.8555535337,-32.8705649141,6,"Residencial Norte",2694682.37982,0,"medio"
"27744",41995,"Pltano","25/04/2011 14:00","Alto (> 8 mts)",215,"Grande",-68.8364456776,-32.8788635722,1,"Parque Central",1655357.93265,0,"alto"
"3724",5726,"Morera","04/05/2011 12:13","Bajo (2 - 4 mts)",26,"Mediano",-68.8402363422,-32.8789292438,1,"Parque Central",1655357.93265,0,"bajo"
"1605",2437,"Fresno europeo","27/10/2011 10:02","Bajo (2 - 4 mts)",40,"Mediano",-68.8370996552,-32.89003199,3,"Parque O'Higgins",1531146.02653,0,"bajo"
"26592",40222,"Morera","14/04/2011 12:40","Bajo (2 - 4 mts)",45,"Mediano",-68.845989437,-32.8813771643,1,"Parque Central",1655357.93265,0,"bajo"
"9614",14728,"Fresno europeo","30/11/2011 16:59","Bajo (2 - 4 mts)",22,"Mediano",-68.8773177993,-32.8689028389,8,"Aeroparque",2203364.73622,0,"bajo"
"7947",12109,"Morera","20/01/2011 13:35","Medio (4 - 8 mts)",90,"Grande",-68.8479353968,-32.8685998053,6,"Residencial Norte",2694682.37982,0,"bajo"
"8104",12347,"Morera","18/01/2011 09:24","Medio (4 - 8 mts)",110,"Grande",-68.847317318,-32.8662723155,6,"Residencial Norte",2694682.37982,1,"medio"
"23591",35759,"Morera","21/03/2011 11:29","Alto (> 8 mts)",190,"Grande",-68.8539909321,-32.8743341675,6,"Residencial Norte",2694682.37982,0,"medio"
"27078",40965,"Morera","14/04/2011 15:31","Alto (> 8 mts)",172,"Grande",-68.8418268764,-32.8849565577,1,"Parque Central",1655357.93265,1,"medio"
"5710",8761,"Fresno europeo","16/02/2011 13:44","Medio (4 - 8 mts)",45,"Mediano",-68.8394773895,-32.8964885293,2,"Barrio Civico",2366816.36021,0,"bajo"
