"id","especie","altura","circ_tronco_cm","diametro_tronco","long","lat","seccion","inclinacion_peligrosa","cric_tronco_cm_cat","cric_diamtero_cm","esbeltez","rareza_de_altura"
7584,"Olmo bola","Bajo (2 - 4 mts)",30,"Mediano",-68.8525374174,-32.883467655,"1",0,"bajo",94.2,188.4,"raro"
7585,"Acer","Medio (4 - 8 mts)",100,"Grande",-68.8521188473,-32.8826924066,"1",0,"bajo",314,942,"muy común"
7586,"Morera","Medio (4 - 8 mts)",120,"Grande",-68.8581617591,-32.8837086712,"5",0,"medio",376.8,1130.4,"normal"
7588,"Fresno europeo","Bajo (2 - 4 mts)",40,"Mediano",-68.8577779773,-32.8837211134,"5",0,"bajo",125.6,251.2,"raro"
7589,"Morera","Muy bajo (1 - 2 mts)",24,"Mediano",-68.8574963333,-32.8837340936,"5",0,"bajo",75.36,301.44,"muy raro"
7592,"Morera","Muy bajo (1 - 2 mts)",4,"Chico",-68.8575307993,-32.8842144123,"5",0,"bajo",12.56,50.24,"muy raro"
7593,"Palo borracho","Bajo (2 - 4 mts)",20,"Chico",-68.8575753326,-32.8844107525,"5",0,"bajo",62.8,125.6,"muy común"
7594,"Morera","Bajo (2 - 4 mts)",40,"Mediano",-68.8576962442,-32.8848814888,"5",0,"bajo",125.6,251.2,"raro"
7595,"Morera","Bajo (2 - 4 mts)",50,"Mediano",-68.8578287882,-32.8849220787,"5",0,"bajo",157,314,"raro"
7599,"Jacarand","Bajo (2 - 4 mts)",28,"Mediano",-68.8587342958,-32.884544916,"5",0,"bajo",87.92,175.84,"normal"
7600,"Morera","Bajo (2 - 4 mts)",14,"Chico",-68.8586989791,-32.8840941479,"5",0,"bajo",43.96,87.92,"raro"
7601,"Morera","Bajo (2 - 4 mts)",30,"Mediano",-68.8586966207,-32.8840650593,"5",0,"bajo",94.2,188.4,"raro"
7603,"Acacia SP","Medio (4 - 8 mts)",120,"Grande",-68.8601126195,-32.8822957716,"7",0,"medio",376.8,1130.4,"normal"
7604,"Acacia SP","Medio (4 - 8 mts)",110,"Grande",-68.8600608125,-32.8823043482,"7",0,"medio",345.4,1036.2,"normal"
7606,"Fresno europeo","Muy bajo (1 - 2 mts)",4,"Chico",-68.8596488618,-32.8823782303,"7",0,"bajo",12.56,50.24,"muy raro"
7607,"Paraiso","Medio (4 - 8 mts)",100,"Grande",-68.8595522369,-32.8823902748,"7",0,"bajo",314,942,"normal"
7608,"Morera","Bajo (2 - 4 mts)",26,"Mediano",-68.8593803539,-32.8824201856,"7",0,"bajo",81.64,163.28,"raro"
7609,"Paraiso","Medio (4 - 8 mts)",100,"Grande",-68.8591861154,-32.8824666108,"7",0,"bajo",314,942,"normal"
7610,"Fresno americano","Bajo (2 - 4 mts)",18,"Chico",-68.8588819657,-32.8825247752,"7",0,"bajo",56.52,113.04,"raro"
7611,"Fresno europeo","Bajo (2 - 4 mts)",16,"Chico",-68.8586776025,-32.8827819561,"7",0,"bajo",50.24,100.48,"raro"
7613,"Caducifolio","Muy bajo (1 - 2 mts)",8,"Chico",-68.8587607802,-32.8833587043,"7",0,"bajo",25.12,100.48,"muy común"
7614,"Fresno europeo","Bajo (2 - 4 mts)",22,"Mediano",-68.8595432578,-32.8834711275,"7",0,"bajo",69.08,138.16,"raro"
7615,"Morera","Bajo (2 - 4 mts)",30,"Mediano",-68.8598164941,-32.8834605714,"7",0,"bajo",94.2,188.4,"raro"
7616,"Morera","Muy bajo (1 - 2 mts)",9,"Chico",-68.8603670597,-32.8827564197,"7",0,"bajo",28.26,113.04,"muy raro"
7619,"Morera","Muy bajo (1 - 2 mts)",6,"Chico",-68.8572358924,-32.8831558215,"5",0,"bajo",18.84,75.36,"muy raro"
7620,"Morera","Bajo (2 - 4 mts)",22,"Mediano",-68.8584215865,-32.8835107681,"5",0,"bajo",69.08,138.16,"raro"
7621,"Morera","Medio (4 - 8 mts)",66,"Grande",-68.8585294378,-32.8835054737,"5",0,"bajo",207.24,621.72,"normal"
7623,"Morera","Muy bajo (1 - 2 mts)",6,"Chico",-68.8586185287,-32.8833158962,"7",0,"bajo",18.84,75.36,"muy raro"
7626,"Fresno europeo","Medio (4 - 8 mts)",110,"Grande",-68.8578450825,-32.8829853236,"7",0,"medio",345.4,1036.2,"muy común"
7629,"Fresno europeo","Medio (4 - 8 mts)",80,"Grande",-68.8558135584,-32.8828990009,"5",0,"bajo",251.2,753.6,"muy común"
7630,"Morera","Bajo (2 - 4 mts)",36,"Mediano",-68.8558476985,-32.8830369028,"5",0,"bajo",113.04,226.08,"raro"
7633,"Fresno europeo","Muy bajo (1 - 2 mts)",16,"Chico",-68.8551522476,-32.883672963,"5",0,"bajo",50.24,200.96,"muy raro"
7634,"Olmo comun","Bajo (2 - 4 mts)",44,"Mediano",-68.854870335,-32.8836814142,"5",0,"bajo",138.16,276.32,"raro"
7635,"Morera","Medio (4 - 8 mts)",50,"Mediano",-68.8545129058,-32.8834866337,"5",0,"bajo",157,471,"normal"
7638,"Fresno europeo","Bajo (2 - 4 mts)",30,"Mediano",-68.8543172245,-32.882285188,"5",0,"bajo",94.2,188.4,"raro"
7639,"Caducifolio","Medio (4 - 8 mts)",100,"Grande",-68.8551356433,-32.8821329806,"5",0,"bajo",314,942,"raro"
7642,"Fresno europeo","Bajo (2 - 4 mts)",26,"Mediano",-68.8554836615,-32.8838302256,"5",0,"bajo",81.64,163.28,"raro"
7643,"Fresno europeo","Bajo (2 - 4 mts)",40,"Mediano",-68.8546836965,-32.8840994783,"5",0,"bajo",125.6,251.2,"raro"
7645,"Fresno europeo","Bajo (2 - 4 mts)",44,"Mediano",-68.8547175756,-32.8842320836,"5",0,"bajo",138.16,276.32,"raro"
7646,"Fresno europeo","Medio (4 - 8 mts)",100,"Grande",-68.8547508293,-32.8843610561,"5",0,"bajo",314,942,"muy común"
7647,"Ailanthus","Medio (4 - 8 mts)",150,"Grande",-68.8547999479,-32.884547309,"5",0,"medio",471,1413,"normal"
7648,"Caducifolio","Bajo (2 - 4 mts)",22,"Mediano",-68.8548287316,-32.884636234,"5",0,"bajo",69.08,138.16,"normal"
7649,"Fresno europeo","Bajo (2 - 4 mts)",84,"Grande",-68.8548377122,-32.8846856968,"5",0,"bajo",263.76,527.52,"raro"
7653,"Morera","Medio (4 - 8 mts)",110,"Grande",-68.8562636923,-32.8851849545,"5",1,"medio",345.4,1036.2,"normal"
7654,"Morera","Medio (4 - 8 mts)",150,"Grande",-68.8563293996,-32.8848703078,"5",0,"medio",471,1413,"normal"
7655,"Morera","Medio (4 - 8 mts)",100,"Grande",-68.8562192737,-32.8844340389,"5",0,"bajo",314,942,"normal"
7656,"Morera","Bajo (2 - 4 mts)",60,"Mediano",-68.8561113879,-32.8840168495,"5",0,"bajo",188.4,376.8,"raro"
7658,"Fresno europeo","Bajo (2 - 4 mts)",28,"Mediano",-68.8560886804,-32.8839107753,"5",0,"bajo",87.92,175.84,"raro"
7659,"Fresno europeo","Medio (4 - 8 mts)",100,"Grande",-68.8529171186,-32.8842923591,"5",0,"bajo",314,942,"muy común"
7660,"Acer","Medio (4 - 8 mts)",100,"Grande",-68.8529496257,-32.8844046085,"5",0,"bajo",314,942,"muy común"
7661,"Fresno europeo","Bajo (2 - 4 mts)",40,"Mediano",-68.8529874116,-32.8845469183,"5",0,"bajo",125.6,251.2,"raro"
7663,"Morera","Bajo (2 - 4 mts)",44,"Mediano",-68.8530945816,-32.8849451225,"5",0,"bajo",138.16,276.32,"raro"
7664,"Morera","Medio (4 - 8 mts)",100,"Grande",-68.8531014876,-32.8849916183,"5",0,"bajo",314,942,"normal"
7666,"Pltano","Alto (> 8 mts)",180,"Grande",-68.8536421363,-32.885065842,"5",1,"medio",565.2,565.2,"muy común"
7670,"Conifera","Medio (4 - 8 mts)",30,"Mediano",-68.8543088568,-32.8850925026,"5",0,"bajo",94.2,282.6,"normal"
7671,"Jacarand","Bajo (2 - 4 mts)",28,"Mediano",-68.8543253126,-32.8850935497,"5",0,"bajo",87.92,175.84,"normal"
7672,"Morera","Bajo (2 - 4 mts)",40,"Mediano",-68.8545760451,-32.8851026402,"5",0,"bajo",125.6,251.2,"raro"
7674,"Morera","Bajo (2 - 4 mts)",24,"Mediano",-68.8546497968,-32.8851068395,"5",0,"bajo",75.36,150.72,"raro"
7675,"Morera","Medio (4 - 8 mts)",60,"Mediano",-68.8546997534,-32.8851163004,"5",0,"bajo",188.4,565.2,"normal"
7676,"Acacia visco","Bajo (2 - 4 mts)",50,"Mediano",-68.8547828895,-32.8849839365,"5",0,"bajo",157,314,"raro"
7683,"Paraiso","Medio (4 - 8 mts)",110,"Grande",-68.8546500972,-32.8845103694,"5",0,"medio",345.4,1036.2,"normal"
7684,"Morera","Medio (4 - 8 mts)",140,"Grande",-68.8546068274,-32.884361584,"5",0,"medio",439.6,1318.8,"normal"
7685,"Morera","Bajo (2 - 4 mts)",80,"Grande",-68.8545575316,-32.8841565593,"5",0,"bajo",251.2,502.4,"raro"
7686,"Morera","Bajo (2 - 4 mts)",80,"Grande",-68.8545244216,-32.8840353586,"5",0,"bajo",251.2,502.4,"raro"
7687,"Morera","Medio (4 - 8 mts)",120,"Grande",-68.8544964017,-32.8839521755,"5",0,"medio",376.8,1130.4,"normal"
7688,"Morera","Medio (4 - 8 mts)",110,"Grande",-68.8529068253,-32.8839450006,"5",0,"medio",345.4,1036.2,"normal"
7689,"Fresno europeo","Bajo (2 - 4 mts)",80,"Grande",-68.85316545,-32.8839369648,"5",0,"bajo",251.2,502.4,"raro"
7690,"Morera","Muy bajo (1 - 2 mts)",6,"Chico",-68.8536077202,-32.8839132232,"5",0,"bajo",18.84,75.36,"muy raro"
7691,"Fresno europeo","Bajo (2 - 4 mts)",6,"Chico",-68.8527697371,-32.8842610061,"5",0,"bajo",18.84,37.68,"raro"
7692,"Paraiso","Medio (4 - 8 mts)",180,"Grande",-68.8527854701,-32.8843261755,"5",0,"medio",565.2,1695.6,"normal"
7694,"Paraiso","Medio (4 - 8 mts)",150,"Grande",-68.852802659,-32.8843827093,"5",0,"medio",471,1413,"normal"
7696,"Morera","Medio (4 - 8 mts)",120,"Grande",-68.8518116564,-32.8849805351,"5",0,"medio",376.8,1130.4,"normal"
7698,"Morera","Muy bajo (1 - 2 mts)",5,"Chico",-68.8515873121,-32.8843976901,"5",0,"bajo",15.7,62.8,"muy raro"
7699,"Morera","Bajo (2 - 4 mts)",120,"Grande",-68.8518679788,-32.883999482,"1",0,"medio",376.8,753.6,"raro"
7700,"Fresno europeo","Medio (4 - 8 mts)",140,"Grande",-68.8523299859,-32.8839832515,"5",0,"medio",439.6,1318.8,"muy común"
7701,"Fresno europeo","Alto (> 8 mts)",130,"Grande",-68.8523903996,-32.8839803995,"5",0,"medio",408.2,408.2,"normal"
7702,"Jacarand","Medio (4 - 8 mts)",80,"Grande",-68.8514814144,-32.8842002299,"1",0,"bajo",251.2,753.6,"muy común"
7703,"Fresno europeo","Bajo (2 - 4 mts)",42,"Mediano",-68.8514585012,-32.8842816111,"1",0,"bajo",131.88,263.76,"raro"
7705,"Fresno europeo","Medio (4 - 8 mts)",130,"Grande",-68.8513269488,-32.8847778843,"5",0,"medio",408.2,1224.6,"muy común"
7706,"Fresno americano","Medio (4 - 8 mts)",110,"Grande",-68.8509206442,-32.8840962207,"1",1,"medio",345.4,1036.2,"muy común"
7707,"Paraiso","Medio (4 - 8 mts)",130,"Grande",-68.8572912665,-32.8838632536,"5",0,"medio",408.2,1224.6,"normal"
7708,"Morera","Medio (4 - 8 mts)",90,"Grande",-68.8573486117,-32.8840933246,"5",0,"bajo",282.6,847.8,"normal"
7709,"Paraiso","Medio (4 - 8 mts)",110,"Grande",-68.8573589382,-32.8841293292,"5",0,"medio",345.4,1036.2,"normal"
7710,"Tilo","Bajo (2 - 4 mts)",30,"Mediano",-68.8574171221,-32.8843797478,"5",0,"bajo",94.2,188.4,"normal"
7711,"Caducifolio","Muy bajo (1 - 2 mts)",20,"Chico",-68.8574277826,-32.8844194083,"5",0,"bajo",62.8,251.2,"muy común"
7717,"Paraiso","Medio (4 - 8 mts)",100,"Grande",-68.8574364759,-32.8849928676,"5",0,"bajo",314,942,"normal"
7718,"Morera","Medio (4 - 8 mts)",110,"Grande",-68.8564950548,-32.8849790058,"5",0,"medio",345.4,1036.2,"normal"
7719,"Paraiso","Bajo (2 - 4 mts)",30,"Mediano",-68.8563103891,-32.884250476,"5",0,"bajo",94.2,188.4,"raro"
7720,"Paraiso sombrilla","Bajo (2 - 4 mts)",100,"Grande",-68.8562887549,-32.8841671952,"5",0,"bajo",314,628,"normal"
7721,"Morera","Bajo (2 - 4 mts)",12,"Chico",-68.8562666737,-32.8840966809,"5",0,"bajo",37.68,75.36,"raro"
7722,"Caducifolio","Bajo (2 - 4 mts)",44,"Mediano",-68.8563623708,-32.8837860793,"5",0,"bajo",138.16,276.32,"normal"
7723,"Morera","Medio (4 - 8 mts)",130,"Grande",-68.8567310289,-32.8837693042,"5",0,"medio",408.2,1224.6,"normal"
7725,"Olmo bola","Medio (4 - 8 mts)",100,"Grande",-68.8509167397,-32.8865838409,"5",0,"bajo",314,942,"muy común"
7726,"Morera","Medio (4 - 8 mts)",170,"Grande",-68.8508740335,-32.8873024674,"5",0,"medio",533.8,1601.4,"normal"
7727,"Morera","Alto (> 8 mts)",160,"Grande",-68.8506911822,-32.887332804,"5",0,"medio",502.4,502.4,"muy común"
7728,"Morera","Alto (> 8 mts)",150,"Grande",-68.8505045291,-32.887367142,"5",0,"medio",471,471,"muy común"
7729,"Morera","Alto (> 8 mts)",160,"Grande",-68.8504381703,-32.8873773978,"5",0,"medio",502.4,502.4,"muy común"
7731,"Morera","Medio (4 - 8 mts)",170,"Grande",-68.8500368161,-32.8874521066,"5",1,"medio",533.8,1601.4,"normal"
7732,"Morera","Alto (> 8 mts)",160,"Grande",-68.8499345026,-32.8874753377,"5",0,"medio",502.4,502.4,"muy común"
7734,"Morera","Bajo (2 - 4 mts)",7,"Chico",-68.8503960486,-32.8864349151,"5",0,"bajo",21.98,43.96,"raro"
7735,"Fresno americano","Medio (4 - 8 mts)",120,"Grande",-68.8504467335,-32.8864283591,"5",0,"medio",376.8,1130.4,"muy común"
7736,"Morera","Medio (4 - 8 mts)",120,"Grande",-68.8507914196,-32.8863653512,"5",0,"medio",376.8,1130.4,"normal"
7737,"Paraiso sombrilla","Medio (4 - 8 mts)",110,"Grande",-68.8519551722,-32.886210021,"5",0,"medio",345.4,1036.2,"muy común"
7739,"Morera","Alto (> 8 mts)",160,"Grande",-68.8520213915,-32.8864501812,"5",0,"medio",502.4,502.4,"muy común"
7740,"Fresno americano","Bajo (2 - 4 mts)",32,"Mediano",-68.8520956257,-32.8867730712,"5",0,"bajo",100.48,200.96,"raro"
7742,"Morera","Bajo (2 - 4 mts)",22,"Mediano",-68.8521344166,-32.8869258123,"5",0,"bajo",69.08,138.16,"raro"
7746,"Fresno americano","Medio (4 - 8 mts)",100,"Grande",-68.8516921893,-32.887144986,"5",0,"bajo",314,942,"muy común"
7747,"Morera","Bajo (2 - 4 mts)",44,"Mediano",-68.8516151062,-32.887161162,"5",0,"bajo",138.16,276.32,"raro"
7748,"Paraiso","Bajo (2 - 4 mts)",24,"Mediano",-68.8510870166,-32.8871769397,"5",0,"bajo",75.36,150.72,"raro"
7749,"Acacia visco","Medio (4 - 8 mts)",100,"Grande",-68.8510798808,-32.8871111996,"5",0,"bajo",314,942,"normal"
7750,"Acacia visco","Alto (> 8 mts)",130,"Grande",-68.851064092,-32.8869616821,"5",0,"medio",408.2,408.2,"muy común"
7751,"Tilo","Medio (4 - 8 mts)",100,"Grande",-68.8510547505,-32.8863746216,"5",0,"bajo",314,942,"muy común"
7754,"Fresno europeo","Muy bajo (1 - 2 mts)",7,"Chico",-68.8534083873,-32.8867171394,"5",0,"bajo",21.98,87.92,"muy raro"
7756,"Ligustro","Bajo (2 - 4 mts)",60,"Mediano",-68.8533630723,-32.8868549983,"5",0,"bajo",188.4,376.8,"muy común"
7758,"Morera","Bajo (2 - 4 mts)",20,"Chico",-68.8522697374,-32.8868273623,"5",0,"bajo",62.8,125.6,"raro"
7759,"Morera","Bajo (2 - 4 mts)",36,"Mediano",-68.852237343,-32.8860812008,"5",0,"bajo",113.04,226.08,"raro"
7760,"Prunas","Bajo (2 - 4 mts)",50,"Mediano",-68.8525410887,-32.8860246156,"5",0,"bajo",157,314,"muy común"
7762,"Fresno americano","Bajo (2 - 4 mts)",44,"Mediano",-68.8528009453,-32.8859777903,"5",0,"bajo",138.16,276.32,"raro"
7763,"Acacia visco","Medio (4 - 8 mts)",110,"Grande",-68.854964404,-32.8857160454,"5",0,"medio",345.4,1036.2,"normal"
7765,"Morera","Bajo (2 - 4 mts)",26,"Mediano",-68.8550548135,-32.8860491795,"5",0,"bajo",81.64,163.28,"raro"
7767,"Morera","Muy bajo (1 - 2 mts)",6,"Chico",-68.8537714255,-32.886788579,"5",0,"bajo",18.84,75.36,"muy raro"
7768,"Caducifolio","Bajo (2 - 4 mts)",20,"Chico",-68.8535557834,-32.8867532905,"5",0,"bajo",62.8,125.6,"normal"
7769,"Morera","Muy bajo (1 - 2 mts)",18,"Chico",-68.8534845372,-32.8864765616,"5",0,"bajo",56.52,226.08,"muy raro"
7771,"Olmo bola","Alto (> 8 mts)",190,"Grande",-68.8536752494,-32.885815417,"5",0,"medio",596.6,596.6,"normal"
7773,"Pltano","Alto (> 8 mts)",160,"Grande",-68.8545120061,-32.8856507,"5",0,"medio",502.4,502.4,"muy común"
7775,"Morera","Bajo (2 - 4 mts)",36,"Mediano",-68.8564667944,-32.8854467165,"5",0,"bajo",113.04,226.08,"raro"
7776,"Morera","Bajo (2 - 4 mts)",44,"Mediano",-68.856478726,-32.8854805833,"5",0,"bajo",138.16,276.32,"raro"
7777,"Fresno europeo","Medio (4 - 8 mts)",150,"Grande",-68.8565172968,-32.885603136,"5",0,"medio",471,1413,"muy común"
7778,"Fresno europeo","Medio (4 - 8 mts)",120,"Grande",-68.8565807907,-32.8858376064,"5",0,"medio",376.8,1130.4,"muy común"
7779,"Fresno europeo","Medio (4 - 8 mts)",130,"Grande",-68.8566366101,-32.8860252729,"5",0,"medio",408.2,1224.6,"muy común"
7780,"Morera","Medio (4 - 8 mts)",160,"Grande",-68.8565613162,-32.8862594363,"5",1,"medio",502.4,1507.2,"normal"
7781,"Paraiso sombrilla","Medio (4 - 8 mts)",160,"Grande",-68.8564851919,-32.8862766092,"5",1,"medio",502.4,1507.2,"muy común"
7783,"Morera","Muy bajo (1 - 2 mts)",4,"Chico",-68.8562181372,-32.8863269965,"5",0,"bajo",12.56,50.24,"muy raro"
7784,"Fresno europeo","Bajo (2 - 4 mts)",6,"Chico",-68.856004746,-32.886364999,"5",0,"bajo",18.84,37.68,"raro"
7785,"Morera","Alto (> 8 mts)",170,"Grande",-68.8558773577,-32.8863907452,"5",0,"medio",533.8,533.8,"muy común"
7787,"Morera","Alto (> 8 mts)",160,"Grande",-68.8552350039,-32.8862239549,"5",0,"medio",502.4,502.4,"muy común"
7788,"Acacia SP","Bajo (2 - 4 mts)",100,"Grande",-68.8552020234,-32.8861233429,"5",1,"bajo",314,628,"raro"
7789,"Olmo comun","Bajo (2 - 4 mts)",28,"Mediano",-68.855150738,-32.8858779123,"5",0,"bajo",87.92,175.84,"raro"
7790,"Paraiso sombrilla","Medio (4 - 8 mts)",100,"Grande",-68.8551405619,-32.8858471618,"5",0,"bajo",314,942,"muy común"
7791,"Pltano","Medio (4 - 8 mts)",80,"Grande",-68.8551425013,-32.8855445227,"5",0,"bajo",251.2,753.6,"normal"
7792,"Fresno americano","Medio (4 - 8 mts)",60,"Mediano",-68.8560039763,-32.8853911677,"5",0,"bajo",188.4,565.2,"muy común"
7793,"Pltano","Alto (> 8 mts)",180,"Grande",-68.8560596022,-32.8853783763,"5",1,"medio",565.2,565.2,"muy común"
7795,"Fresno europeo","Bajo (2 - 4 mts)",38,"Mediano",-68.8562981968,-32.885328412,"5",0,"bajo",119.32,238.64,"raro"
7796,"Morera","Bajo (2 - 4 mts)",40,"Mediano",-68.8563704253,-32.8853144141,"5",0,"bajo",125.6,251.2,"raro"
7797,"Paraiso sombrilla","Medio (4 - 8 mts)",110,"Grande",-68.8567383774,-32.8852448774,"5",0,"medio",345.4,1036.2,"muy común"
7798,"Prunas","Muy bajo (1 - 2 mts)",18,"Chico",-68.8566421063,-32.8854883692,"5",0,"bajo",56.52,226.08,"raro"
7799,"Fresno europeo","Medio (4 - 8 mts)",120,"Grande",-68.8566487653,-32.885519488,"5",1,"medio",376.8,1130.4,"muy común"
7802,"Fresno europeo","Medio (4 - 8 mts)",120,"Grande",-68.8567762153,-32.8859853166,"5",0,"medio",376.8,1130.4,"muy común"
7803,"Morera","Medio (4 - 8 mts)",110,"Grande",-68.8569758743,-32.8861817912,"5",0,"medio",345.4,1036.2,"normal"
7805,"Morera","Medio (4 - 8 mts)",100,"Grande",-68.857824229,-32.8859173968,"5",0,"bajo",314,942,"normal"
7806,"Morera","Medio (4 - 8 mts)",140,"Grande",-68.8577852312,-32.8857832843,"5",0,"medio",439.6,1318.8,"normal"
7807,"Morera","Bajo (2 - 4 mts)",80,"Grande",-68.8577618012,-32.8856857928,"5",0,"bajo",251.2,502.4,"raro"
7808,"Morera","Medio (4 - 8 mts)",120,"Grande",-68.8577519672,-32.8856490746,"5",0,"medio",376.8,1130.4,"normal"
7810,"Morera","Alto (> 8 mts)",160,"Grande",-68.8576658857,-32.8853426529,"5",0,"medio",502.4,502.4,"muy común"
7813,"Fresno europeo","Medio (4 - 8 mts)",100,"Grande",-68.8581718681,-32.8849816228,"5",0,"bajo",314,942,"muy común"
7814,"Jacarand","Muy bajo (1 - 2 mts)",8,"Chico",-68.8581127115,-32.8849946411,"5",0,"bajo",25.12,100.48,"muy raro"
7815,"Fresno europeo","Medio (4 - 8 mts)",100,"Grande",-68.8580577462,-32.8850030042,"5",0,"bajo",314,942,"muy común"
7816,"Morera","Medio (4 - 8 mts)",100,"Grande",-68.8578895395,-32.8856045197,"5",0,"bajo",314,942,"normal"
7818,"Morera","Medio (4 - 8 mts)",120,"Grande",-68.8579333861,-32.8857894679,"5",0,"medio",376.8,1130.4,"normal"
7820,"Morera","Medio (4 - 8 mts)",100,"Grande",-68.8588087663,-32.8854320455,"5",1,"bajo",314,942,"normal"
7821,"Fresno europeo","Medio (4 - 8 mts)",100,"Grande",-68.858797551,-32.8853340675,"5",0,"bajo",314,942,"muy común"
7822,"Jacarand","Bajo (2 - 4 mts)",23,"Mediano",-68.8587913432,-32.8852046379,"5",0,"bajo",72.22,144.44,"normal"
7823,"Olmo bola","Medio (4 - 8 mts)",80,"Grande",-68.8587847815,-32.8851419818,"5",0,"bajo",251.2,753.6,"muy común"
7824,"Fresno europeo","Medio (4 - 8 mts)",110,"Grande",-68.8587726673,-32.8850070993,"5",0,"medio",345.4,1036.2,"muy común"
7825,"lamo criollo","Alto (> 8 mts)",150,"Grande",-68.8605693784,-32.8845299892,"5",0,"medio",471,471,"común"
7826,"Morera","Bajo (2 - 4 mts)",34,"Mediano",-68.8595612347,-32.8847137027,"5",0,"bajo",106.76,213.52,"raro"
7827,"Morera","Bajo (2 - 4 mts)",50,"Mediano",-68.8589546994,-32.884834755,"5",0,"bajo",157,314,"raro"
7832,"Fresno americano","Bajo (2 - 4 mts)",44,"Mediano",-68.8603074315,-32.8855724393,"5",0,"bajo",138.16,276.32,"raro"
7834,"Morera","Bajo (2 - 4 mts)",40,"Mediano",-68.860901328,-32.885377939,"5",0,"bajo",125.6,251.2,"raro"
7837,"Fresno europeo","Bajo (2 - 4 mts)",28,"Mediano",-68.8510545481,-32.8856574785,"5",0,"bajo",87.92,175.84,"raro"
7838,"Acacia SP","Medio (4 - 8 mts)",100,"Grande",-68.8510151018,-32.8858486741,"5",0,"bajo",314,942,"normal"
7839,"Pltano","Medio (4 - 8 mts)",180,"Grande",-68.8508981595,-32.8862047915,"5",0,"medio",565.2,1695.6,"normal"
7840,"Pltano","Medio (4 - 8 mts)",150,"Grande",-68.8508536347,-32.8862196245,"5",0,"medio",471,1413,"normal"
7841,"Acer","Medio (4 - 8 mts)",90,"Grande",-68.8498648404,-32.8863910857,"5",1,"bajo",282.6,847.8,"muy común"
7842,"Fresno americano","Bajo (2 - 4 mts)",50,"Mediano",-68.8491572553,-32.8855314491,"1",0,"bajo",157,314,"raro"
7843,"Fresno europeo","Muy bajo (1 - 2 mts)",12,"Chico",-68.8493296509,-32.8854934197,"1",0,"bajo",37.68,150.72,"muy raro"
7845,"Fresno europeo","Alto (> 8 mts)",110,"Grande",-68.8509511403,-32.8854835171,"5",0,"medio",345.4,345.4,"normal"
7848,"Morera","Medio (4 - 8 mts)",110,"Grande",-68.8592311116,-32.8836583034,"5",1,"medio",345.4,1036.2,"normal"
7849,"Fresno europeo","Bajo (2 - 4 mts)",22,"Mediano",-68.8588035832,-32.8837789432,"5",0,"bajo",69.08,138.16,"raro"
7851,"Jacarand","Bajo (2 - 4 mts)",44,"Mediano",-68.8588304157,-32.8841168873,"5",0,"bajo",138.16,276.32,"normal"
7852,"Morera","Medio (4 - 8 mts)",130,"Grande",-68.8588342088,-32.8841631376,"5",1,"medio",408.2,1224.6,"normal"
7853,"Fresno europeo","Bajo (2 - 4 mts)",42,"Mediano",-68.8588356136,-32.8842065512,"5",0,"bajo",131.88,263.76,"raro"
7854,"Paraiso","Medio (4 - 8 mts)",130,"Grande",-68.8588520057,-32.884355606,"5",0,"medio",408.2,1224.6,"normal"
7856,"Fresno europeo","Medio (4 - 8 mts)",66,"Grande",-68.8603643584,-32.8844469932,"5",0,"bajo",207.24,621.72,"muy común"
7860,"Morera","Alto (> 8 mts)",150,"Grande",-68.85280321,-32.8894500376,"5",0,"medio",471,471,"muy común"
7861,"Paraiso","Alto (> 8 mts)",142,"Grande",-68.8528811572,-32.8896990197,"5",0,"medio",445.88,445.88,"muy común"
7862,"Morera","Alto (> 8 mts)",127,"Grande",-68.8528867632,-32.8897200222,"5",0,"medio",398.78,398.78,"muy común"
7863,"Morera","Alto (> 8 mts)",98,"Grande",-68.85290544,-32.8897913562,"5",0,"bajo",307.72,307.72,"muy común"
7864,"Acer","Alto (> 8 mts)",125,"Grande",-68.8529219084,-32.8898712772,"5",0,"medio",392.5,392.5,"normal"
7865,"Acer","Alto (> 8 mts)",126,"Grande",-68.8529297851,-32.8899132251,"5",0,"medio",395.64,395.64,"normal"
7866,"Paraiso","Alto (> 8 mts)",176,"Grande",-68.8529553978,-32.8899963307,"5",0,"medio",552.64,552.64,"muy común"
7867,"Paraiso","Medio (4 - 8 mts)",50,"Mediano",-68.8529699404,-32.8900426578,"5",0,"bajo",157,471,"normal"
7868,"Paraiso","Medio (4 - 8 mts)",40,"Mediano",-68.8530184352,-32.8902205762,"5",0,"bajo",125.6,376.8,"normal"
7870,"Pltano","Alto (> 8 mts)",165,"Grande",-68.8521247015,-32.8904938776,"5",0,"medio",518.1,518.1,"muy común"
7871,"Pltano","Alto (> 8 mts)",65,"Grande",-68.8540550506,-32.8892351411,"5",0,"bajo",204.1,204.1,"muy común"
7872,"Pltano","Alto (> 8 mts)",155,"Grande",-68.854108528,-32.8894504779,"5",0,"medio",486.7,486.7,"muy común"
7873,"Paraiso","Alto (> 8 mts)",150,"Grande",-68.8531253409,-32.8900667325,"5",0,"medio",471,471,"muy común"
7874,"Morera","Alto (> 8 mts)",130,"Grande",-68.8530443202,-32.8897684975,"5",0,"medio",408.2,408.2,"muy común"
7875,"Fresno europeo","Alto (> 8 mts)",135,"Grande",-68.8558106839,-32.8889804524,"5",0,"medio",423.9,423.9,"normal"
